Ticker,Company Name,Sector,Industry,Country,Currency,P/E Ratio (Trailing),P/E Ratio (Forward),Price-to-Book Ratio,Price-to-Sales Ratio,Enterprise Value,EV/EBITDA,EV/Revenue,Profit Margin,Operating Margin,Gross Margin,Return on Equity (ROE),Return on Assets (ROA),Debt-to-Equity Ratio,Current Ratio,Quick Ratio,Revenue (TTM),EPS (Trailing),EPS (Forward),Revenue Growth (YoY),Earnings Growth (YoY),Dividend Yield,Dividend Rate,Payout Ratio,Market Cap,Beta,52-Week High,52-Week Low,Average Volume,Shares Outstanding,Float Shares,Short Ratio,Book Value Per Share,Total Assets,Total Liabilities,Free Cash Flow,EBITDA,Target Price (Analyst),Recommendation Rating,Number of Analysts,Institutional Ownership (%),Insider Ownership (%),Historical Volatility (1Y),Target High Price,Target Low Price,50-Day Moving Average,200-Day Moving Average,Website
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,United States,USD,26.086208,17.457691,5.72239,4.7590036,279956193280.0,17.791,4.942,0.18451001,0.23785,0.65681,0.22583,0.06542,59.625,1.008,0.738,56654000128.0,2.61,3.9,0.076,0.32,2.42,1.64,0.6207,269616594944.0,0.987,72.55,47.85,20365982.0,3960000000.0,3952713600.0,2.32,11.898,124413000000.0,78956000000.0,10210000000.0,15736000512.0,75.81476,2.11538,21.0,0.80724,0.00071000005,0.22399862549957122,87.0,61.0,68.4354,62.6083,https://www.cisco.com
C,Citigroup Inc.,Financial Services,Banks - Diversified,United States,USD,14.254077,13.4214325,0.9023508,2.4393685,-20002471936.0,,-0.275,0.19466999,0.27649,0.0,0.06759,0.00569,,,,72825004032.0,6.77,7.19,0.071,0.285,2.53,2.4,0.3309,177647026176.0,1.4,97.49,55.51,14511185.0,1840899968.0,1835430431.0,2.4,106.943,2352945000000.0,2143579000000.0,-26169000000.0,,101.54762,1.81818,21.0,0.79752,0.0023700001,0.3305493078809014,124.0,77.0,91.6764,77.72295,https://www.citigroup.com
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,United States,USD,15.87805,13.457365,0.9748063,3.1166282,27881801728.0,,3.868,0.22087,0.29578,0.0,0.064840004,0.00727,,,,7208000000.0,3.28,3.87,0.052,0.179,3.25,1.68,0.5122,22464655360.0,1.141,52.525,32.6,4905053.0,431348992.0,427082947.0,1.68,53.426,217521000000.0,193267000000.0,1879000000.0,,56.0,1.7,19.0,0.98278,0.00694,0.34766395091794217,65.0,51.0,48.1624,44.08625,https://www.citizensbank.com
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,United States,USD,18.938555,16.912209,47.129208,2.122674,17943050240.0,12.844,2.526,0.114020005,0.20976,0.45158002,1.69199,0.13095,604.979,0.838,0.515,7104000000.0,6.51,7.29,0.045,0.555,4.04,4.96,0.7485,15079476224.0,0.518,171.37,116.53,1870324.0,122309000.0,121970617.0,3.7,2.616,5561000000.0,5079000000.0,761000000.0,1396999936.0,134.41176,3.15789,17.0,0.90876997,0.00206,0.2086170797584983,166.0,115.0,123.8438,142.50204,https://www.thecloroxcompany.com
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,United States,USD,25.982107,25.906942,3.4832358,15.050895,98742902784.0,21.716,15.35,0.58587,0.66874003,1.0,0.13612,0.01737,13.603,1.019,0.019,6432699904.0,10.34,10.37,0.104,0.161,1.86,5.0,1.0261,96817889280.0,0.443,290.79,212.38,2258959.0,360376992.0,358787300.0,2.43,77.128,137447000000.0,110960100000.0,3596500000.0,4546999808.0,283.22223,2.77778,18.0,0.91643,0.0044299997,0.18022936449631713,313.0,212.0,275.42,259.03644,https://www.cmegroup.com
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,United States,USD,21.076694,19.9581,2.6175036,2.6677666,39410470912.0,13.794,4.916,0.1276,0.19804001,0.42086,0.11307,0.03081,201.148,0.999,0.557,8016999936.0,3.39,3.58,0.144,0.015,3.03,2.17,0.6239,21387485184.0,0.384,76.45,63.97,2249570.0,299335008.0,297225146.0,5.32,27.297,35920000000.0,27172000000.0,-808000000.0,2856999936.0,76.53846,2.25,13.0,1.00971,0.0051599997,0.1707721214515785,81.0,61.0,71.7808,70.4339,https://www.cmsenergy.com
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,United States,USD,24.390072,23.158249,10.356874,6.289711,334422999040.0,21.178,7.106,0.25887,0.34662998,0.61425,0.42369998,0.08941,166.367,1.213,0.841,47061999616.0,2.82,2.97,0.014,0.573,2.96,2.04,0.7057,296006385664.0,0.43,74.38,60.62,15631635.0,4303669760.0,3870761363.0,2.53,6.641,100549000000.0,74177000000.0,4741000000.0,15790999552.0,78.70435,1.6,23.0,0.65589994,0.098780006,0.17143881138324546,85.0,70.0,69.7136,68.1849,https://www.coca-colacompany.com
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,United States,USD,14.423936,14.250502,2.274501,1.6952963,34445594624.0,9.34,1.681,0.11891,0.15577,0.34179002,0.16693,0.10256,7.699,2.41,1.968,20486000640.0,4.93,4.99,0.081,0.15,1.73,1.24,0.2475,34729840640.0,0.93,90.82,65.52,3734288.0,488396000.0,486960053.0,5.17,31.264,19966000000.0,5558000000.0,1827000000.0,3688000000.0,86.94955,2.48,22.0,1.01596,0.00097000005,0.2501831332212123,103.0,75.0,74.0936,77.90445,https://www.cognizant.com
COIN,"Coinbase Global, Inc.",Financial Services,Financial Data & Stock Exchanges,United States,USD,29.026037,84.31373,6.381716,11.532636,74832035840.0,37.045,11.159,0.42666,0.14428,0.84535,0.27961,0.0076099997,38.83,2.125,0.948,6706041856.0,10.37,3.57,0.029,36.934,,,0.0,77338337280.0,3.687,444.65,142.58,13345737.0,215159008.0,212094740.0,0.89,47.166,22541951000.0,12265109000.0,2556844000.0,2020024960.0,366.53586,2.30303,29.0,0.65269,0.01962,0.8562829320625627,510.0,185.0,347.2964,272.34076,https://www.coinbase.com
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,United States,USD,23.422754,21.602333,95.955124,3.3700125,75432984576.0,15.637,3.772,0.14541,0.20861,0.60621,3.9804401,0.15562999,832.51,0.885,0.47,19997999104.0,3.56,3.86,0.01,0.022,2.48,2.08,0.56740004,67393507328.0,0.351,109.3,82.4,5017787.0,808220992.0,757868658.0,2.55,0.869,16046000000.0,15502000000.0,3546000000.0,4824000000.0,95.22222,2.1,18.0,0.86059,0.0016,0.20639600021350257,106.0,83.0,86.9244,90.12435,https://www.colgatepalmolive.com
CMCSA,Comcast Corporation,Communication Services,Telecom Services,United States,USD,5.6492534,7.7773967,1.3006872,1.0128126,217576882176.0,5.693,1.752,0.18444,0.19770001,0.70822996,0.24919,0.05244,104.176,0.913,0.715,124184002560.0,6.03,4.38,0.021,1.98,3.89,1.32,0.2123,125775126528.0,0.926,45.31,31.03,20636930.0,3682759936.0,3653106035.0,2.26,26.19,266211000000.0,179937000000.0,12543000000.0,38219001856.0,39.81481,2.24138,27.0,0.88772005,0.0074400003,0.280701849486418,50.0,31.0,34.0882,35.9322,https://corporate.comcast.com
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,United States,USD,7.9333334,7.0780673,1.0175289,0.78485245,17409505280.0,8.41,1.499,0.09924,0.137,0.25955,0.13214,0.05032,93.036,0.711,0.194,11612800000.0,2.4,2.69,-0.043,,7.29,1.4,0.5833,9114334208.0,0.066,33.24,18.18,11239908.0,478694016.0,474057924.0,2.58,18.712,20933900000.0,12001200000.0,1302600000.0,2070200064.0,20.93333,3.0,18.0,0.934,0.00638,0.24950096712681116,26.0,18.0,19.4742,23.89005,https://www.conagrabrands.com
COP,ConocoPhillips,Energy,Oil & Gas E&P,United States,USD,12.798928,11.890411,1.8185974,2.0080287,136401387520.0,5.425,2.297,0.15467,0.19729,0.48231998,0.1593,0.082729995,35.883,1.269,1.005,59385999360.0,7.46,8.03,0.021,-0.212,3.3,3.12,0.4182,119248797696.0,0.7,116.08,79.88,7229995.0,1248940032.0,1246431937.0,2.28,52.502,122780000000.0,57984000000.0,8006000000.0,25144000512.0,116.61538,1.57692,26.0,0.83931,0.00090000004,0.33564818012818354,137.0,100.0,94.285,96.28595,https://www.conocophillips.com
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,United States,USD,17.776363,17.396797,1.4857308,2.1827996,60874764288.0,10.776,3.768,0.119849995,0.10125,0.53398997,0.085439995,0.03053,114.039,1.097,0.884,16154000384.0,5.5,5.62,0.116,0.172,3.47,3.4,0.6109,35260944384.0,0.266,114.87,87.28,2636556.0,360652000.0,360215276.0,3.71,65.806,70562000000.0,48600000000.0,-1157000000.0,5648999936.0,105.28571,3.1875,14.0,0.72008,0.00214,0.1976917348220817,128.0,88.0,101.2278,100.6564,https://www.conedison.com
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,United States,USD,,9.666117,3.566113,2.5695772,37580943360.0,9.895,3.735,-0.043959998,0.31598,0.51665,-0.0442,0.08688,153.569,1.067,0.24,10061899776.0,-2.34,15.17,-0.055,-0.393,2.79,4.08,1.0453,25854828544.0,0.669,261.06,145.86,2308545.0,176266000.0,146486058.0,4.86,41.119,21652300000.0,14517500000.0,1938100000.0,3797799936.0,184.30435,1.92,23.0,0.77791,0.19740999,0.3095272232301517,247.0,123.0,167.5142,186.71034,https://www.cbrands.com
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,United States,USD,32.226276,34.530727,7.1803627,3.8899708,103064870912.0,16.218,4.152,0.12123,0.15391,0.21773,0.23515,0.04483,60.212,1.476,0.978,24820000768.0,9.59,8.95,0.114,0.035,0.5,1.55,0.15439999,96549076992.0,1.124,357.0,161.35,2388035.0,312406016.0,311618317.0,3.16,43.041,52926000000.0,39387000000.0,-5029000000.0,6354999808.0,333.84,1.85714,12.0,0.85342,0.00257,0.6566109231257486,393.0,184.05,322.2536,274.32962,https://www.constellationenergy.com
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,United States,USD,32.67402,16.33701,1.5864195,3.2754807,15701630976.0,14.106,3.881,0.1008,0.16570999,0.6696,0.050100002,0.03794,29.67,2.116,0.908,4045700096.0,2.04,4.08,0.057,-0.058,,,0.0,13251612672.0,0.974,112.38,61.78,2728314.0,198808992.0,197508711.0,3.76,42.016,12315200000.0,4231600000.0,288100000.0,1113100032.0,84.46667,1.94118,15.0,1.04061,0.00606,0.33993272695158466,96.0,66.0,72.094,83.0517,https://www.coopercos.com
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,United States,USD,32.645695,28.330458,5.427171,10.38261,42267193344.0,22.201,9.207,0.32209,0.37265,0.4653,0.18441999,0.12015,1.148,8.155,6.987,4590859776.0,1.51,1.74,0.075,0.077,,,0.0,47665106944.0,1.033,64.38,45.05,6758506.0,966936000.0,886458113.0,4.32,9.083,8427764000.0,879209000.0,961574000.0,1903851008.0,59.375,2.18182,8.0,0.87042,0.08658,0.2657893223884224,66.0,50.0,47.398,54.7849,https://www.copart.com
GLW,Corning Incorporated,Technology,Electronic Components,United States,USD,74.78724,30.432903,5.1164484,4.239076,66834939904.0,20.984,4.705,0.05765,0.1494,0.35408002,0.082770005,0.041350003,73.616,1.497,0.692,14206000128.0,0.94,2.31,0.188,3.5,1.62,1.12,1.1915001,60220317696.0,1.081,70.64,37.31,5003940.0,856619008.0,782272773.0,2.01,13.74,27735000000.0,16665000000.0,974000000.0,3184999936.0,69.83333,1.69231,12.0,0.74367,0.08597,0.3234137641906278,84.0,47.0,59.5012,50.8192,https://www.corning.com
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,United States,USD,21.558252,14.307371,5.703713,5.3720574,28691372032.0,13.059,6.878,0.25166,0.43501,0.78116,0.31151,0.0625,209.504,1.116,0.669,4171324928.0,14.72,22.18,0.129,0.131,,,0.0,22408597504.0,1.003,400.81,269.02,487729.0,70614400.0,68046844.0,2.87,55.637,17957031000.0,14811042000.0,1765389000.0,2197024000.0,383.45456,1.84615,11.0,0.96719,0.03533,0.3518592504874832,445.0,320.0,325.1878,342.266,https://www.corpay.com
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,United States,USD,33.41244,22.587227,1.9026188,2.866516,50890047488.0,14.255,2.963,0.08156,0.28284,0.45654,0.0574,0.035520002,13.877,1.682,1.14,17176999936.0,2.17,3.21,0.056,0.274,0.99,0.72,0.3134,49238147072.0,0.775,77.41,53.4,4202211.0,679100032.0,677341131.0,1.67,38.108,40825000000.0,16795000000.0,1548000000.0,3569999872.0,80.7619,1.56522,21.0,0.86849,0.00089,0.24724177820607282,92.0,68.0,73.3394,65.44345,https://www.corteva.com
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,United States,USD,338.96155,78.6875,4.336893,12.80613,34398822400.0,189.839,11.799,0.03574,-0.03481,0.79331,0.01303,-0.00041,12.947,5.834,5.587,2915500032.0,0.26,1.12,0.153,-0.789,,,0.0,37336272896.0,0.873,97.43,68.26,2821232.0,423649984.0,418011576.0,5.18,20.321,9256800000.0,1703300000.0,-245300000.0,181200000.0,97.125,2.0,16.0,1.05148,0.01174,0.3227140258217093,107.0,70.0,88.2626,79.50855,https://www.costargroup.com
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,United States,USD,54.23231,48.69334,15.668748,1.581158,414713675776.0,33.332,1.543,0.02918,0.04003,0.12776,0.3208,0.087910004,30.813,1.015,0.472,268775997440.0,17.67,19.68,0.08,0.132,0.55,5.2,0.2711,424977334272.0,0.954,1078.23,867.16,2144048.0,443476992.0,442266394.0,2.74,61.159,69831000000.0,46209000000.0,6629000000.0,12442000384.0,1072.6666,2.0,30.0,0.72481,0.00202,0.21445782774756486,1225.0,620.0,964.3932,975.45996,https://www.costco.com
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,United States,USD,11.605263,10.409871,1.2714263,2.9701476,22573778944.0,5.484,3.622,0.25289,0.42282,0.74759,0.1142,0.05783,30.136,1.126,0.982,6232000000.0,2.09,2.33,0.348,1.309,3.66,0.88,0.4115,18509959168.0,0.311,29.95,22.3,6770320.0,763139968.0,751120517.0,3.76,19.077,21625000000.0,8503000000.0,1024000000.0,4116000000.0,33.4,1.68,25.0,0.94345003,0.01472,0.3001657681795317,40.0,27.0,24.3716,25.88015,https://www.coterra.com
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,United States,USD,,95.78452,27.308533,23.643898,99570769920.0,-1089.741,22.937,-0.06841,-0.06381,0.74163,-0.089209996,-0.02053,21.36,1.88,1.686,4341102080.0,-1.2,4.27,0.213,,,,0.0,102640574464.0,1.12,517.98,242.25,3176166.0,250955008.0,246347604.0,2.5,14.977,8701578000.0,5382661000.0,1067906000.0,-91371000.0,469.67978,1.9434,48.0,0.75306,0.0311,0.46232343665086245,610.0,330.0,457.899,409.6387,https://www.crowdstrike.com
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,United States,USD,,36.23694,-30.568146,6.538447,71743078400.0,18.241,11.092,-0.71707,0.47924998,0.71475,-1.83279,0.040349998,,0.282,0.105,6467999744.0,-9.0,2.68,-0.042,0.159,4.38,4.25,2.2199001,42290671616.0,0.941,120.92,84.2,3202119.0,435470016.0,434381386.0,1.12,-3.177,32736000000.0,32869000000.0,1721000000.0,3932999936.0,118.78667,2.05,18.0,0.96212,0.00118,0.2639122813742297,127.0,107.0,103.762,99.1991,https://www.crowncastle.com
CSX,CSX Corporation,Industrials,Railroads,United States,USD,19.935337,16.00719,4.8967147,4.2796917,79532859392.0,11.985,5.619,0.21915,0.36094,0.46881,0.24819,0.07249,159.506,0.773,0.604,14154999808.0,1.63,2.03,-0.034,-0.102,1.61,0.52,0.3067,60579033088.0,1.246,37.25,26.22,19550785.0,1864280064.0,1860212890.0,1.33,6.636,42764000000.0,30257000000.0,2718000000.0,6636000256.0,37.92,1.85185,25.0,0.801,0.0025,0.26089403265311945,44.0,27.0,34.3404,32.2764,https://www.csx.com
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,United States,USD,18.61744,17.633657,4.6413045,1.6226629,60724039680.0,11.649,1.801,0.08722,0.13016,0.25958002,0.2615,0.07891,67.459,1.642,0.867,33720000512.0,21.33,22.52,-0.017,0.222,2.04,8.0,0.3413,54716194816.0,1.011,408.38,260.02,829183.0,137786000.0,137007547.0,1.74,85.56,31540000000.0,20232000000.0,279000000.0,5213000192.0,410.0588,2.52381,17.0,0.86763,0.00328,0.2995190559036264,480.0,350.0,366.1024,345.4032,https://www.cummins.com
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,United States,USD,20.427576,11.317129,1.2007761,0.24201395,161716682752.0,11.574,0.421,0.01179,0.02803,0.13305001,0.05881,0.02286,106.67,0.803,0.582,384328990720.0,3.59,6.48,0.084,-0.432,3.63,2.66,0.7409,93012975616.0,0.623,74.53,43.56,7351696.0,1268329984.0,1265713623.0,1.92,61.073,253215000000.0,177485000000.0,6326000000.0,13973000192.0,81.5725,1.65385,24.0,0.88104,0.01069,0.3758583483361875,99.0,70.0,66.259,61.779,https://www.cvshealth.com
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,United States,USD,41.577496,23.368734,2.6788597,5.839523,158415323136.0,21.063,6.597,0.14213,0.20115,0.59718,0.06676,0.04006,35.45,1.619,1.1,24013000704.0,4.71,8.38,0.034,-0.369,0.64,1.28,0.2505,140224462848.0,0.78,279.9,171.0,3865175.0,716051968.0,637128384.0,2.13,73.102,77542000000.0,27992000000.0,5296000000.0,7520999936.0,245.5,1.27273,20.0,0.82742,0.11047,0.30797087742286955,310.0,205.0,201.6752,209.6154,https://www.danaher.com
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,United States,USD,23.625704,19.844696,10.61117,2.0232058,31948136448.0,16.732,2.645,0.08691,0.13171,0.21882,0.46159,0.07379,338.057,0.417,0.149,12076699648.0,8.87,10.56,0.106,0.006,2.88,6.0,0.63060004,24433647616.0,0.708,228.27,153.98,1227546.0,116595000.0,116483771.0,4.0,19.749,12587000000.0,10275700000.0,1026600000.0,1909400064.0,232.77779,2.0,27.0,0.95189005,0.00307,0.2939102948118797,255.0,157.0,208.7924,197.5086,https://www.darden.com
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,United States,USD,13.396449,12.053238,-27.277107,0.737962,23720454144.0,8.825,1.802,0.063540004,0.15697,0.32541,0.57942003,0.07154,825.189,1.393,1.276,13161327616.0,10.14,11.27,0.061,0.032,,,0.0,9712560128.0,1.125,179.6,126.07,819962.0,71500000.0,35699235.0,7.39,-4.98,17285268000.0,15193917000.0,1466595000.0,2687971072.0,153.5,,8.0,0.52057,0.49993,0.32469803102503897,186.0,137.0,139.5832,148.3776,https://www.davita.com
DAY,Dayforce Inc,Technology,Software - Application,United States,USD,232.06667,31.502264,4.1168475,5.932984,11709218816.0,44.692,6.323,0.02646,0.080699995,0.50948,0.01893,0.00821,45.495,1.038,0.175,1851699968.0,0.3,2.21,0.098,,,,0.0,10986105856.0,1.144,82.69,48.005,2256669.0,157800992.0,140016813.0,4.22,16.911,9117000000.0,6570700000.0,171500000.0,262000000.0,70.16667,2.46667,12.0,1.08357,0.01244,0.4559865250228187,72.0,68.0,59.0354,63.12375,https://www.dayforce.com
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,United States,USD,18.77573,19.218554,7.358377,3.5380805,16937278464.0,13.154,3.305,0.19311,0.17136,0.57633,0.43578997,0.21270001,12.647,2.937,2.017,5124803072.0,6.51,6.36,0.169,0.24,,,0.0,18131965952.0,1.048,223.98,93.72,3309288.0,148343008.0,147063159.0,2.23,16.611,3570252000.0,1057239000.0,958352000.0,1287577984.0,129.27856,2.32,21.0,1.00852,0.00566,0.5282171100451075,158.0,97.0,106.55,139.4617,https://www.deckers.com
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,United States,USD,24.487997,21.163284,5.0381737,2.8663425,187184054272.0,22.141,4.23,0.11767,0.15094,0.27421,0.21399,0.03736,266.767,2.229,2.003,44250001408.0,19.16,22.17,-0.086,-0.245,1.38,6.48,0.3305,126835662848.0,1.01,533.78,378.66,1264875.0,270328992.0,269737371.0,3.57,93.127,107320000000.0,84395000000.0,4429000000.0,8454000128.0,534.61334,2.26087,21.0,0.83652,0.00207,0.2873622017979292,750.0,460.0,503.3024,477.02246,https://www.deere.com/en
DELL,Dell Technologies Inc.,Technology,Computer Hardware,United States,USD,17.997128,13.325533,-30.928394,0.8351186,104734908416.0,10.244,1.032,0.04768,0.05954,0.21268,,0.054629996,,0.83,0.531,101450997760.0,6.96,9.4,0.19,0.453,1.69,2.1,0.2787,84723613696.0,1.079,147.66,66.25,5471100.0,340672992.0,309480687.0,2.74,-4.05,79746000000.0,81133000000.0,1869000000.0,10224000000.0,146.42857,1.6087,21.0,0.70572,0.09214,0.5098718456748051,180.0,104.0,129.1684,113.30695,https://www.dell.com
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,United States,USD,9.002907,8.823361,2.3036299,0.65310615,58790162432.0,7.614,0.949,0.07243,0.120620005,0.21190001,0.30074,0.045229997,128.326,0.385,0.248,61924999168.0,6.88,7.02,-0.001,0.627,1.22,0.75,0.0872,40443596800.0,1.509,69.98,34.74,9268133.0,652947968.0,645289561.0,2.42,26.888,75372000000.0,60079000000.0,2885000000.0,7720999936.0,67.81,1.45455,20.0,0.81901,0.00327,0.5053971357710827,90.0,59.0,55.4814,55.01605,https://www.delta.com
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,United States,USD,7.9481983,7.912556,1.4903501,1.3910024,29850783744.0,3.855,1.854,0.17659001,0.25078,0.50618,0.20727,0.09093001,59.266,1.222,1.008,16104999936.0,4.44,4.46,-0.007,0.052,2.74,0.96,0.2568,22402093056.0,1.138,43.3,25.89,7663620.0,634800000.0,629340720.0,1.88,23.679,30489000000.0,15785000000.0,-853000000.0,7744000000.0,45.44828,1.8,29.0,0.77838,0.007850001,0.4081290094111235,70.0,33.0,33.4992,33.90925,https://www.devonenergy.com
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,United States,USD,56.390846,39.445812,12.204694,7.3013887,30598893568.0,33.141,7.115,0.13288,0.18374,0.58766,0.22826,0.06081,100.241,1.52,1.302,4300800000.0,1.42,2.03,0.152,0.274,,,0.0,31401811968.0,1.487,93.25,57.52,3733804.0,392155008.0,389508217.0,2.7,6.561,6484500000.0,4381900000.0,630700000.0,923299968.0,102.08,1.40741,25.0,0.97516996,0.00419,0.4136812320826501,115.0,83.0,82.0712,79.9565,https://www.dexcom.com/global
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,United States,USD,10.307609,9.716188,1.0651865,3.0706887,60088979456.0,6.169,4.481,0.28613,0.27897,0.75421,0.13784,0.06366,35.449,0.55,0.466,13409999872.0,13.8,14.64,0.413,-0.489,2.74,3.9,0.3797,41177935872.0,1.118,200.47,114.0,2167609.0,289486016.0,185589552.0,4.63,133.54,67292000000.0,27430000000.0,-5374000000.0,9740000256.0,181.9,1.46667,30.0,0.62864,0.35904,0.4006700770460905,222.0,143.0,142.6724,151.42975,https://www.diamondbackenergy.com
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,United States,USD,42.562992,134.02065,2.488262,9.906556,74248773632.0,28.739,13.059,0.24323,0.15001,0.54517,0.05835,0.01028,80.668,1.602,1.563,5685473792.0,3.81,1.21,0.126,13.786,3.02,4.88,1.2808,56323465216.0,0.978,198.0,129.95,1624466.0,341049984.0,318820768.0,4.51,65.172,45283616000.0,22107836000.0,2261477000.0,2583514112.0,195.48,1.75862,25.0,0.99373,0.00017000001,0.279113490368822,220.0,141.0,171.2896,168.54305,https://www.digitalrealty.com
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,United States,USD,20.189816,17.528135,2.99511,0.5761371,39926796288.0,13.192,0.959,0.0286,0.0555,0.30152,0.15597999,0.03971,213.026,1.253,0.204,41651642368.0,5.4,6.22,0.051,0.094,2.15,2.36,0.437,23997057024.0,0.292,117.95,66.43,2948940.0,220106000.0,218439825.0,3.01,36.401,31132733000.0,23719026000.0,1686176000.0,3026481920.0,120.11111,2.43333,27.0,0.9465,0.0032,0.34695844166911494,138.0,80.0,111.8364,91.2843,https://www.dollargeneral.com
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,United States,USD,19.248062,16.389439,5.637736,1.0917964,27487238144.0,12.954,1.482,-0.15799,0.04879,0.35829,0.20055,0.0529,203.675,1.036,0.191,18551099392.0,5.16,6.06,0.123,0.479,,,0.0,20258101248.0,0.894,118.06,60.49,3621988.0,203968000.0,179595725.0,5.26,17.617,18644000000.0,14666600000.0,1562000000.0,2121900032.0,110.82609,2.25926,23.0,1.04922,0.0010800001,0.43356219621484526,140.0,75.0,110.095,84.8795,https://www.dollartree.com
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,United States,USD,19.538206,17.399408,1.9129559,3.2961485,101322309632.0,12.649,6.654,0.16962999,0.32493,0.4936,0.091400005,0.03274,151.441,0.666,0.281,15226999808.0,3.01,3.38,0.093,0.381,4.53,2.67,0.88699996,50190454784.0,0.591,62.46,48.07,5211143.0,853433984.0,851530468.0,7.35,30.743,102415000000.0,72223000000.0,-7180000000.0,8009999872.0,61.41667,2.86667,12.0,0.82795995,0.00116,0.2318861788854694,67.0,54.0,58.9392,56.03405,https://www.dominionenergy.com
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,United States,USD,26.631243,25.997166,-4.062633,3.2561946,21982386176.0,22.778,4.598,0.12489,0.18064,0.28506002,,0.30974,,0.597,0.33,4781233152.0,17.22,17.64,0.031,0.301,1.49,6.96,0.3775,15568625664.0,1.101,500.55,396.06,664272.0,33948900.0,33215306.0,3.36,-112.88,1737013000.0,5699304000.0,512012000.0,965065984.0,509.2414,1.9375,29.0,0.93516,0.08176,0.2762058647016849,594.0,340.0,458.5432,458.37604,https://ir.dominos.com
DASH,"DoorDash, Inc.",Consumer Cyclical,Internet Retail,United States,USD,136.5879,139.6573,11.89369,8.927818,104555888640.0,125.367,8.79,0.06566,0.05633,0.51037997,0.0964,0.02545,36.414,2.073,1.276,11895000064.0,1.82,1.78,0.249,,,,0.0,106196402176.0,1.696,278.15,122.32,3616211.0,402360992.0,367900189.0,3.46,20.901,12845000000.0,5035000000.0,1802000000.0,834000000.0,290.90833,1.8,36.0,0.9521,0.0060799997,0.3791753140648741,360.0,190.0,245.9991,202.84883,https://www.doordash.com
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,United States,USD,22.688143,18.709883,3.244568,3.0838716,25765752832.0,15.039,3.291,0.29288,0.17989999,0.39672002,0.16722,0.06942,41.245,1.949,1.268,7829059072.0,7.76,9.41,0.052,-0.006,1.19,2.08,0.2658,24143812608.0,1.263,222.31,143.04,1011920.0,137134000.0,136418611.0,1.66,54.263,12509160000.0,5555164000.0,580846000.0,1713246976.0,212.26105,,19.0,0.88293,0.01337,0.266841065262495,235.0,168.0,182.5212,185.47505,https://www.dovercorporation.com
DOW,Dow Inc.,Basic Materials,Chemicals,United States,USD,,7.5739555,0.9689827,0.399264,33691639808.0,8.724,0.806,-0.023459999,0.00208,0.07972,-0.04739,0.010629999,97.386,1.689,0.779,41819000832.0,-1.4,3.11,-0.074,,5.85,1.4,7.0,16696821760.0,0.834,55.67,20.402,14576627.0,708844032.0,707128748.0,1.51,24.309,57312000000.0,39461000000.0,-151000000.0,3862000128.0,28.94118,2.7,17.0,0.6917,0.00179,0.4393886623788273,45.0,20.0,25.563,33.247,https://www.dow.com
